Income,Credit_Score,Loan_Amount,Loan_Term,Age,Employment_Years,Gender,Married,Education,Self_Employed,Property_Area,Existing_EMI,Loan_Status
46705,617,375525,60,43,7,Male,Yes,Not Graduate,No,Urban,28889,Approved
35322,796,241814,240,33,2,Male,No,Not Graduate,No,Rural,19342,Rejected
91048,707,97344,120,46,5,Male,No,Graduate,,Semiurban,17181,Approved
60992,832,166060,24,56,3,Female,No,Graduate,Yes,Urban,32284,Approved
72935,820,439162,36,55,2,Female,Yes,Not Graduate,No,Rural,18333,Rejected
89364,703,81745,120,44,4,Female,Yes,Graduate,No,Semiurban,1399,Rejected
45152,820,163220,48,56,16,Female,Yes,Not Graduate,No,Urban,9482,Approved
49186,821,219749,12,43,6,Female,Yes,Not Graduate,No,Semiurban,33635,Approved
57535,754,387295,12,54,7,Male,No,Not Graduate,No,Urban,29069,Rejected
111343,686,249703,360,56,1,Female,Yes,Not Graduate,Yes,Semiurban,14091,Approved
73936,680,398708,60,41,5,Female,Yes,Graduate,No,Urban,5594,Rejected
91620,688,401279,24,56,0,Female,Yes,Not Graduate,No,Urban,33253,Rejected
93248,635,274978,240,38,10,Male,No,Graduate,No,Semiurban,22270,Approved
30026,791,162791,120,22,2,Female,No,Not Graduate,No,Semiurban,5567,Approved
81656,830,281758,120,48,7,Female,Yes,Not Graduate,Yes,Urban,18562,Approved
19007,624,208030,48,24,4,Female,No,Graduate,No,Urban,8466,Rejected
75176,529,291043,24,23,0,Female,No,Graduate,No,Urban,7548,Approved
29551,743,105502,48,44,2,Male,No,Not Graduate,No,Urban,11018,Approved
48968,572,126778,60,30,7,Male,Yes,Graduate,No,Semiurban,11609,Approved
102278,839,219454,84,57,6,Female,No,Not Graduate,No,Urban,4862,Approved
98610,824,315849,120,26,6,Female,Yes,Graduate,No,Semiurban,21071,Approved
84132,608,70521,48,26,2,Male,No,Graduate,No,Urban,22175,Approved
55243,649,429444,360,45,0,Male,No,Graduate,No,Rural,20331,Rejected
102343,688,117000,240,45,10,Female,Yes,Graduate,No,Urban,31868,Approved
114815,789,69790,84,55,9,Male,No,Graduate,No,Semiurban,10848,Approved
48671,793,175393,60,49,12,Male,No,Graduate,No,Urban,18466,Approved
24839,766,244622,240,37,4,Male,Yes,Graduate,No,Urban,33643,Rejected
72381,547,257856,240,22,2,Male,No,Graduate,No,Urban,21973,Rejected
76799,835,52753,24,51,8,Male,No,Graduate,Yes,Rural,34588,Approved
26232,576,312054,360,50,0,Male,Yes,Graduate,Yes,Urban,27300,Rejected
90633,530,254710,180,53,4,Male,No,Not Graduate,No,Urban,4427,Approved
64176,799,227496,36,23,3,Female,Yes,Not Graduate,Yes,Semiurban,29994,Rejected
89176,762,182809,12,46,0,Male,No,Graduate,No,Rural,21753,Approved
42486,774,412843,180,42,1,Female,Yes,Not Graduate,Yes,Semiurban,11826,Rejected
39842,747,234311,180,48,11,Male,No,Graduate,No,Semiurban,3759,Rejected
97635,744,68244,36,30,10,Female,No,Graduate,No,Semiurban,29486,Approved
50717,578,63586,36,38,8,Female,No,Not Graduate,Yes,Semiurban,29246,Rejected
77250,608,424011,180,25,5,Female,No,Not Graduate,No,Urban,19657,Approved
44342,591,174117,180,28,5,Male,No,Graduate,No,Rural,8504,Approved
93353,557,115707,84,47,3,Female,Yes,Not Graduate,No,Semiurban,11925,Approved
39581,602,219167,48,40,2,Female,No,Not Graduate,No,Semiurban,17986,Rejected
40439,839,427819,360,30,1,Male,Yes,Graduate,No,Semiurban,17344,Rejected
102136,674,303202,48,39,13,Female,No,Graduate,No,Urban,27238,Approved
70260,586,448807,84,43,4,Male,No,Graduate,No,Urban,3316,Approved
93718,680,149527,36,41,5,Female,No,Graduate,No,Urban,25771,Approved
55453,794,54287,24,51,0,Female,No,Graduate,No,Semiurban,12756,Approved
,569,256518,84,28,8,Female,No,Not Graduate,No,Semiurban,32773,Approved
,687,371424,84,53,12,Female,No,Graduate,No,Semiurban,19647,Approved
96238,,189214,360,22,2,Male,Yes,Graduate,,Semiurban,24916,Approved
72890,597,266510,48,41,0,Female,Yes,Not Graduate,No,Semiurban,31350,Rejected
97963,767,150801,48,37,9,Female,No,Graduate,No,Urban,18940,Approved
55721,582,350667,240,38,0,Female,Yes,Graduate,No,Semiurban,22699,Rejected
109248,659,121970,24,56,13,Male,Yes,Graduate,,Urban,15259,Rejected
38701,728,392303,180,56,3,Female,No,Graduate,Yes,Semiurban,15218,Rejected
22763,723,309723,36,32,6,Female,Yes,Graduate,No,Urban,21957,Approved
53761,618,109059,84,50,8,Female,Yes,Graduate,No,Urban,12659,Approved
42219,,300323,84,27,7,Male,Yes,Graduate,No,Semiurban,21602,Rejected
79000,677,133737,120,28,2,Female,Yes,Graduate,No,Urban,14473,Approved
79712,795,398176,48,56,0,Male,Yes,Graduate,No,Urban,7353,Rejected
75912,579,,48,54,5,Female,Yes,Graduate,,Semiurban,3783,Approved
93800,557,73744,120,34,1,Female,Yes,Graduate,Yes,Rural,30937,Approved
67081,,,120,47,1,Male,No,Graduate,No,Urban,8345,Approved
73591,792,248850,48,55,10,Male,No,Graduate,No,Rural,7395,Rejected
31224,824,67603,180,25,0,Male,Yes,Not Graduate,No,Urban,14238,Approved
59799,815,363481,84,57,2,Male,No,Not Graduate,No,Semiurban,27103,Approved
90856,773,74580,84,48,11,Female,No,Graduate,No,Urban,31032,Approved
72592,805,327868,36,47,3,Female,Yes,Graduate,No,Urban,29477,Approved
27539,616,449348,360,23,3,Female,Yes,Not Graduate,No,Rural,1004,Rejected
69987,642,339448,84,34,0,Female,No,Graduate,No,Urban,23569,Approved
66589,680,267018,12,34,3,Male,Yes,Graduate,No,Semiurban,27366,Approved
51728,770,429352,180,42,4,Female,Yes,Not Graduate,No,Urban,32002,Approved
,544,53346,120,25,5,Male,,Graduate,No,Urban,31667,Approved
55576,528,313305,120,55,10,Male,Yes,Not Graduate,No,Urban,34501,Rejected
109388,635,207273,24,36,1,Male,Yes,Graduate,No,Semiurban,619,Approved
87226,,170463,48,27,0,Female,No,Graduate,Yes,Rural,2156,Approved
28084,673,135170,360,46,6,Female,No,Graduate,No,Semiurban,5139,Approved
119391,687,65532,60,46,13,Female,No,Graduate,No,Urban,12172,Approved
53123,598,249229,36,26,5,Male,Yes,Graduate,No,Urban,17679,Approved
64388,803,98792,360,26,2,Female,No,Graduate,No,Semiurban,15908,Approved
39916,,194683,120,25,3,Female,No,Not Graduate,No,Semiurban,12815,Approved
75700,691,275766,360,42,12,Male,No,Graduate,No,Urban,20590,Approved
60714,712,196958,120,36,0,Male,Yes,Graduate,No,Rural,30252,Approved
106208,775,122969,60,47,12,Male,No,Graduate,No,Semiurban,4847,Approved
89256,538,238496,240,47,0,Male,Yes,Graduate,No,Semiurban,2903,Approved
19382,570,185653,48,27,1,Male,No,Graduate,No,Semiurban,32798,Rejected
63656,679,229865,180,30,7,Female,No,Graduate,No,Semiurban,4402,Approved
115057,644,320529,36,31,1,Male,No,Graduate,No,Urban,26545,Approved
95621,739,253861,12,49,5,Male,Yes,Not Graduate,No,Urban,12915,Approved
94939,578,232412,84,46,3,Female,Yes,Not Graduate,No,Urban,5554,Approved
72819,825,122282,360,45,4,Male,Yes,Graduate,Yes,Urban,29556,Approved
84248,773,264504,180,56,7,Female,No,Graduate,Yes,Urban,14452,Approved
90053,781,109355,360,52,11,Female,Yes,Not Graduate,No,Urban,27862,Approved
29401,744,111544,48,43,10,Male,No,Not Graduate,No,Urban,9124,Approved
60421,669,201693,360,31,5,Male,Yes,Not Graduate,No,Rural,18174,Approved
82154,592,352737,60,46,13,Female,No,Graduate,No,Rural,6101,Approved
